point	title	description	icon
-33.93,28.03	Парковка	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/parking.png
-43.56,31.83	Парковка	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/parking.png
-30.44,-9.87	Парковка	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/parking.png
-24.71,-39.78	Парковка	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/parking.png
-10.02,-117.33	Парковка	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/parking.png
12.65,-88.93	Парковка	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/parking.png
27.77,-39.25	Парковка	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/parking.png
74.51,-25.79	Парковка	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/parking.png
75.42,54.53	Парковка	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/parking.png
45.24,55.36	Парковка	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/parking.png
39.99,81.05	Парковка	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/parking.png
37.66,98.26	Парковка	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/parking.png
70.82,115.44	Парковка	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/parking.png
-32.01,56.22	Парковка	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/parking.png
-79.40,102.52	Парковка	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/parking.png
-11.71,-7.41	Метро	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/metro.png
-17.41,19.82	Метро	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/metro.png
1.47,17.90	Метро	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/metro.png
0.51,-8.70	Метро	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/metro.png
-36.88,-29.44	Светофор	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/light.png
-38.82,-26.82	Светофор	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/light.png
-35.62,-25.95	Светофор	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/light.png
-52.02,19.11	Светофор	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/light.png
-50.86,13.78	Светофор	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/light.png
-46.98,18.04	Светофор	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/light.png
-13.83,51.03	Светофор	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/light.png
-18.00,56.37	Светофор	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/light.png
-13.24,60.93	Светофор	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/light.png
-9.94,55.59	Светофор	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/light.png
22.98,91.11	Светофор	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/light.png
21.34,95.77	Светофор	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/light.png
25.60,93.54	Светофор	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/light.png
-15.71,-43.19	Медпункт	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/medic.png
74.12,33.86	Медпункт	информация	http://localhost/public_html/unavimp/graphics/bckgricons/small/medic.png
-9.91,19.12	U Navigator Barabashovo	интерактивный информационный стенд	http://localhost/public_html/unavimp/graphics/bckgricons/small/modicon_mod.png
-7.37,54.76	U Navigator Barabashovo	интерактивный информационный стенд	http://localhost/public_html/unavimp/graphics/bckgricons/small/modicon_mod.png
15.84,74.48	U Navigator Barabashovo	интерактивный информационный стенд<br/>Интер 2	http://localhost/public_html/unavimp/graphics/bckgricons/small/modicon_mod.png
